material (pt), material (en), price per kg (USD), source price, production total in brazil (kg), year production total in brazil, source production total in brazil, area of production in brazil, notes
OURO, gold, 60328.63, https://markets.businessinsider.com/commodities/gold-price, 85000, 2019, https://www.ceicdata.com/en/indicator/brazil/gold-production, 24620465,
CASCALHO, gravel, 0.00929, https://www.statista.com/statistics/219381/sand-and-gravel-prices-in-the-us/, 135680, 2000, https://pubs.iied.org/pdfs/G00578.pdf, 190362.1, 
AREIA, sand, 0.00929, https://www.statista.com/statistics/219381/sand-and-gravel-prices-in-the-us/, 217120, 2000, https://pubs.iied.org/pdfs/G00578.pdf, 3847775, 
ARENITO, sandstone, , , , , https://montesiaomineracao.com.br/en/brazil-closes-2018-among-the-largest-countries-in-the-production-and-export-of-marble-and-granite-and-maintains-a-prominent-global-position/, ,
MANGANÃŠS, manganese, , , , , , ,
GRANITO, granite, , , , , , ,
MÃRMORE, marble, , , , , , ,
DIAMANTE, diamond, , , 31800, 2015, http://www.brazil.gov.br/about-brazil/news/2016/12/diamond-production-in-brazil-may-grow-up-to-10-times, 3023468, unit (yield) is carat/unit (price) is kg
DIAMANTE INDUSTRIAL, industrial diamond, , , , , , ,
FOSFATO, phosphate, , , , , , ,
ARGILA, clay, , , , , , ,
CALCÃRIO, limestone, , , , , , ,
TURFA, peat, , , , , , ,
CASSITERITA, cassiterite, , , , , , ,
COBRE, copper, 7.77, https://markets.businessinsider.com/commodities/copper-price, 361.5, 2019, https://www.statista.com/statistics/795920/brazil-copper-production-volume/, 14231966,
DIABÃSIO, diabase, , , , , , ,
ÃGUA MINERAL, mineral water, , , , , , ,
AMETISTA, amethyst, , , , , , ,
BRITA DE GRANITO, granite gravel, , , , , , ,
CALCÃRIO CALCÃTICO, calcareous limestone, , , , , , ,
CALCÃRIO DOLOMÃTICO, dolmatic limestone, , , , , , ,
CALCÃRIO INDUSTRIAL, industrial limestone, , , , , , ,
CALCEDÃ”NIA, chalcedony, , , , , , ,
CASCALHO DIAMANTÃFERO, diamond gravel, , , , , , ,
CAULIM, kaolin, , , , , , ,
COLUMBITA, columbite, , , , , , ,
CONGLOMERADO, conglomerate, ?, ?, ?, ?, ?, ?, ?
DADO NÃƒO CADASTRADO, Data not registered, -, -, -, -, -, -, -
AREIA LAVADA, washed sand, , , , , , ,
ÃGUAS TERMAIS, thermal water, , , , , , ,
ÃGUA POTÃVEL DE MESA, table drinking water, , , , , , ,
DOLOMITO, dolomite, , , , , , ,
FILITO, filito, , , , , , ,
GABRO, gabbro, , , , , , ,
GALENA, galena/galenite, , , , , , ,
GRANITO ORNAMENTAL, ornamental granite, , , , , , ,
HEMATITA, hematite, , , , , , ,
ILMENITA, ilmenite, , , , , , ,
LATERITA, laterite, , , , , , ,
MAGNETITA, magnetite, , , , , , ,
MINÃ‰RIO DE CHUMBO, lead ore, , , , , , ,
MINÃ‰RIO DE COBRE, copper ore, , , , , , ,
MINÃ‰RIO DE ESTANHO, tin ore, , , , , , ,
MINÃ‰RIO DE FERRO, iron ore, 0.15535, https://markets.businessinsider.com/commodities/iron-ore-price, 410000, 2019, https://en.wikipedia.org/wiki/Mining_in_Brazil, 14328360, 
MINÃ‰RIO DE MANGANÃŠS, manganese ore, , , , , , ,
MINÃ‰RIO DE NÃQUEL, nickel ore, , , , , , ,
MINÃ‰RIO DE NIÃ“BIO, niobium ore, , , , , , ,
MINÃ‰RIO DE OURO, gold ore, , , , , , ,
MINÃ‰RIO DE TITÃ‚NIO, titanium ore, , , , , , ,
MINÃ‰RIO DE VANÃDIO, vanide ore, , , , , , ,
MINÃ‰RIO DE ZINCO, zinc ore, , , , , , ,
NÃQUEL, nickel, , , , , , ,
QUARTZITO, quartzite, , , , , , ,
QUARTZO, quartz, , , , , , ,
SAIBRO, gravel, , , , , , ,
SIENITO, syenite, , , , , , ,
TÃNTALO, tantalum, , , , , , ,
TANTALITA, tantalite, , , , , , ,
TERRAS RARAS, rare lands, , , , , , ,
TITÃNIO, Titanium, , , , , , ,
TURMALINA, tourmaline, , , , , , ,
ZINCO, zinc, , , , , , ,
